Movie Name,Language,Year,Seen,Size (MB),IMDB Rating,My Rating,Genre,
Aradhana,Hindi,1969,Yes,1146.84,7.00,9,Family-Musical-Romance-Drama,
Are We There Yet?,English,2005,Yes,699.89,4.20,6,Adventure-Comedy-Drama-Family-Romance,
Armageddon,English,1998,Yes,949.45,6.20,7,Action-Adventure-Sci-Fi-Thriller,
Arnold Schwarzenegger Collection,English,1984,Yes,1761.21,NA,8,Action,
Artificial Intelligence: AI,English,2001,Yes,699.41,7.00,9,Adventure-Drama-Sci-Fi,
Arya,Telugu,2004,Yes,1399.83,7.30,7,Action-Drama-Mystery-Thriller,
Arya 2,Telugu,2009,Yes,695.32,7.20,7,Action-Drama-Mystery-Thriller,
Asoka,Hindi,2001,Yes,1398.61,6.50,7,Action-Drama-History-Romance-War,
Athadu,Telugu,2005,Yes,1668.06,7.30,NA,Action-Adventure-Music-Romance-Thriller,
Atlantis Collection,English,NA,Yes,1400.53,NA,7,Adventure-Animation-Family,
Atlantis: Milo's Return,English,2003,Yes,700.37,4.80,7,Adventure-Animation-Family-Action-Comedy,
Atlantis: The Lost Empire,English,2001,Yes,700.16,6.40,7,Adventure-Animation-Family-Sci-Fi,
Atonement,English,2007,Yes,701.39,7.80,8,Drama-Mystery-Romance-War,
August Rush,English,2007,Yes,699.57,7.50,NA,Drama-Music-Romance,
Austin Powers in Goldmember,English,2002,Yes,701.12,6.10,6,Action-Comedy-Crime,
Austin Powers Trilogy,English,1997,Yes,2111.93,NA,6,Action-Comedy-Crime,
Austin Powers: International Man of Mystery,English,1997,Yes,705.42,7.10,6,Comedy-Crime,
Austin Powers: The Spy Who Shagged Me,English,1999,Yes,705.38,6.60,6,Action-Adventure-Comedy-Crime,
Avatar,English,2009,Yes,2941.77,8.10,10,Action-Adventure-Fantasy-Sci-Fi,
AVP: Alien vs. Predator,English,2004,Yes,702.12,5.40,NA,Action-Sci-Fi-Thriller,
AVPR: Aliens vs Predator - Requiem,English,2007,Yes,698.17,4.80,NA,Action-Horror-Sci-Fi-Thriller,
Ayan,Tamil,2009,Yes,700.81,6.20,NA,Action,
Back to the Future,English,1985,Yes,702.08,8.40,8,Adventure-Family-Sci-Fi,
Back to the Future Part II,English,1989,Yes,701.69,7.60,NA,Adventure-Comedy-Sci-Fi,
Back to the Future Part III,English,1990,Yes,701.14,7.20,NA,Adventure-Comedy-Sci-Fi-Western,
Back To The Future Trilogy,English,1985,Yes,2104.91,NA,NA,Adventure-Comedy-Sci-Fi,
Badrinath,Telugu,2011,Yes,898.35,5.30,6,Action-Comedy-Drama-Romance,
Baghban,Hindi,2003,Yes,0.00,7.10,7,Drama-Romance,
Bandidas,English,2006,Yes,300.58,5.60,NA,Action-Comedy-Crime-Western,
Bangkok Dangerous,English,2008,Yes,701.34,5.40,NA,Action-Crime-Thriller,
Barah Aana,Hindi,2009,Yes,697.69,7.00,NA,Comedy-Crime-Drama,
Basic Instinct,English,1992,Yes,1399.73,6.90,NA,Mystery-Thriller,
Batman Begins,English,2005,Yes,1250.04,8.30,9,Action-Crime-Drama-Thriller,
Batman: Under the Red Hood,English,2010,Yes,727.99,7.80,NA,Animation-Action-Crime-Thriller,
Battle Los Angeles,English,2011,Yes,2906.38,5.90,7,Action-Sci-Fi,
Bbuddah Hoga Terra Baap,Hindi,2011,Yes,702.11,5.80,NA,Action-Crime-Drama-Thriller,
Beauty and the Beast,English,1991,Yes,700.34,8.00,8,Animation-Family-Fantasy-Musical-Romance,
Because I Said So,English,2007,Yes,701.33,5.20,NA,Comedy-Romance,
Bedtime Stories,English,2008,Yes,697.91,6.10,NA,Comedy-Family-Fantasy,
Bee Movie,English,2007,Yes,2239.37,6.30,NA,Animation-Adventure-Comedy-Family,
Beerfest,English,2006,Yes,701.39,6.10,5,Comedy,
Before the Devil Knows You're Dead,English,2007,No,701.19,7.40,NA,Crime-Drama-Thriller,
Behind Enemy Lines,English,2001,Yes,697.94,6.20,NA,Action-War-Drama-Thriller,
Ben-Hur,English,1959,Yes,699.69,8.20,NA,Action-Adventure-Drama-History-Romance,
Beowulf,English,2007,Yes,699.41,6.50,NA,Animation-Action-Adventure-Fantasy,
Berozgaar,Hindi,2010,Yes,700.32,NA,NA,Comedy-Crime-Drama,
Best of Youth (La meglio gioventù),Foreign Language,2003,Yes,2771.70,8.30,8,Drama-Romance,
Better Than Chocolate,English,1999,No,699.97,6.00,NA,Comedy-Drama-Romance,
Bewitched,English,2005,Yes,701.48,4.80,NA,Comedy-Fantasy-Romance,
Beyond Borders,English,2003,Yes,715.74,6.20,7,Adventure-Drama-Romance-War,
Bhagam Bhag,Hindi,2006,Yes,700.69,5.30,NA,Comedy-Mystery-Romance,
Bheema,Tamil,2008,No,1397.89,5.90,NA,Action,
Bheja Fry 2,Hindi,2011,Yes,705.12,4.90,NA,Comedy-Drama,
Bhindi Baazaar,Hindi,2011,Yes,397.88,6.60,NA,Crime-Drama-Thriller,
Bhool Bhulaiyaa,Hindi,2007,Yes,704.24,6.40,NA,Comedy-Horror-Mystery-Thriller,
