Movie Name,Language,Year,Seen,Size (MB),IMDB Rating,My Rating,Genre,
Konchem Ishtam Konchem Kashtam,Telugu,2009,Yes,703.14,7.30,NA,Romance,
Kramer vs. Kramer,English,1979,Yes,445.37,7.70,NA,Drama,
Krantiveer,Hindi,1994,Yes,1312.92,7.20,8,Drama-Romance,
Kshan,Marathi,2006,Yes,1519.76,7.70,NA,Drama-Romance,
Kuch Kuch Hota Hai,Hindi,1998,Yes,686.22,7.30,8,Comedy-Family-Musical-Romance,
Kung fu Hustle,English,2004,Yes,1388.94,7.80,7,Action-Comedy-Crime-Fantasy,
Kung Fu Panda,English,2008,Yes,2239.72,7.70,NA,Animation-Action-Adventure-Comedy-Family,
Kung Fu Panda 2,English,2011,Yes,703.63,7.40,9,Animation-Action-Adventure-Comedy-Family,
Kung Fu Panda Holiday Special,English,2010,Yes,175.23,6.90,9,Animation-Short-Comedy-Family,
Kung Fu Panda: Secrets of the Furious Five,English,2008,Yes,232.31,7.20,NA,Animation-Short-Action-Comedy-Family,
L.A. Confidential,English,1997,Yes,700.41,8.40,9,Crime-Drama-Mystery-Thriller,
Laffing Gas,English,NA,Yes,108.82,NA,NA,,
Lagaan: Once Upon a Time in India,Hindi,2001,Yes,351.23,8.10,9,Drama-Musical-Romance-Sport,
Lage Raho Munna Bhai,Hindi,2006,Yes,1451.96,7.80,8,Comedy-Drama-History-Musical-Romance,
Lalbaug Parel,Marathi,2010,Yes,695.89,NA,8,Action,
Lara Croft Tomb Raider: The Cradle of Life,English,2003,Yes,699.74,5.20,7,Action-Adventure-Fantasy-Thriller,
Lara Croft: Tomb Raider,English,2001,Yes,1267.68,5.40,7,Action-Adventure-Fantasy-Thriller,
Lara Croft: Tomb Rider Collection,English,2001,Yes,1400.57,NA,7,Action-Adventure-Fantasy-Thriller,
Lawrence of Arabia,English,1962,Yes,1401.08,8.50,NA,Adventure-Biography-Drama-History-War,
Le serpent,Foreign Language,1973,Yes,701.25,6.30,6,Thriller,
Legally Blonde,English,2001,Yes,800.46,6.10,NA,Comedy,
Legally Blonde 2: Red  White & Blonde,English,2003,Yes,800.46,4.30,NA,Comedy,
Legally Blonde Collection,English,2001,Yes,2307.29,NA,NA,Comedy,
Legally Blondes,English,2009,Yes,706.37,3.70,NA,Comedy-Family,
Léon,English,1994,Yes,398.89,8.60,9,Crime-Drama-Thriller,
Lethal Weapon,English,1987,Yes,700.99,7.60,NA,Action-Crime-Thriller,
Lethal Weapon 2,English,1989,Yes,701.12,7.10,NA,Action-Comedy-Crime-Thriller,
Lethal Weapon 3,English,1992,Yes,701.03,6.50,NA,Action-Crime-Thriller,
Lethal Weapon 4,English,1998,Yes,701.50,6.50,NA,Action-Crime-Thriller,
Lethal Weapon The Complete Collection,English,1987,Yes,3104.97,NA,7,Action-Crime-Thriller,
Letters from Iwo Jima,English,2006,Yes,800.11,8.00,NA,Drama-History-War,
Letters to Juliet,English,2010,No,701.03,6.30,NA,Comedy-Drama-Romance,
Liar Liar,English,1997,Yes,826.29,6.70,NA,Comedy-Fantasy,
Life in a Metro,Hindi,2007,Yes,648.07,7.30,7,Comedy-Drama-Romance,
Life Is Beautiful (La vita è bella),English,1997,Yes,700.73,8.50,9,Comedy-Drama-Romance-War,
Limitless,English,2011,Yes,2628.67,7.30,7,Mystery-Sci-Fi-Thriller,
Lions for Lambs,English,2007,No,701.85,6.20,NA,Drama-Thriller-War,
Little Boy Blue,English,1997,No,695.87,6.30,NA,Drama,
Little Miss Sunshine,English,2006,No,701.56,8.00,NA,Adventure-Comedy-Drama,
Little Terrorist,Hindi,2004,Yes,76.40,7.10,NA,Drama-Short,
Lock  Stock and Two Smoking Barrels,English,1998,No,700.37,8.20,NA,Crime-Thriller,
Lolita,English,1997,Yes,700.00,6.80,7,Drama-Romance,
Lonavla Bypass 2010,Marathi,2010,No,697.21,NA,NA,,
Looking for Richard,English,1996,No,699.06,7.20,NA,Documentary-Drama,
Lord of War,English,2005,Yes,701.27,7.70,NA,Crime-Drama-Thriller,
Lost in Translation,English,2003,No,801.35,7.90,NA,Drama,
Love and Other Drugs,English,2010,Yes,700.00,6.60,NA,Comedy-Drama-Romance,
Love Breakups Zindagi,Hindi,2011,Yes,909.37,5.80,NA,Comedy-Drama-Romance,
Love Story 2050,Hindi,2008,Yes,700.43,2.80,5,Action-Adventure-Drama-Musical-Romance-Sci-Fi,
LSD: Love  Sex Aur Dhokha,Hindi,2010,Yes,699.49,7.40,6,Comedy-Crime-Drama,
Luck by Chance,Hindi,2009,Yes,695.93,7.10,8,Drama,
Lucky Number Slevin,English,2006,Yes,701.80,7.80,NA,Crime-Drama-Mystery-Thriller,
Luv Ka the End,Hindi,2011,Yes,699.67,5.00,5,Comedy-Drama,
Mabel's Married Life,English,NA,Yes,100.86,NA,NA,,
Machete,English,2010,Yes,1255.08,6.90,6,Action-Comedy-Thriller,
Mackenna's Gold,English,1969,Yes,2087.01,6.50,NA,Romance-Western,
Madagascar,English,2005,Yes,699.36,6.70,7,Adventure-Animation-Comedy-Family,
Madagascar Collection,English,2005,Yes,998.47,NA,7,Adventure-Animation-Comedy-Family,
Madagascar: Escape 2 Africa,English,2008,Yes,700.86,6.80,7,Action-Adventure-Animation-Comedy-Family,
Made of Honor,English,2008,Yes,701.60,5.50,NA,Comedy-Romance,
Magadheera,Telugu,2009,Yes,704.71,7.50,7,Action-Drama-Romance,
Maine Pyar Kiya,Hindi,1989,Yes,1393.04,7.50,NA,Family-Musical-Romance,
Malèna,Foreign Language,2000,Yes,698.51,7.40,8,Comedy-Drama-Romance-War,
Mamma Mia!,English,2008,Yes,701.65,6.40,7,Comedy-Musical-Romance,
Manhunter,English,1986,No,699.41,7.20,NA,Crime-Drama-Mystery-Thriller,
Marathi Goshta Choti Dongraevadhi,Marathi,2009,Yes,699.96,NA,NA,Biography-Documentary-Drama,
Maria Full of Grace,Foreign Language,2004,Yes,699.19,7.60,NA,Drama-Thriller-Crime,
Max Payne,English,2008,Yes,699.89,5.40,NA,Action-Crime-Drama-Mystery-Thriller,
Me Nathuram Godse Bolatoy,Marathi,NA,Yes,362.42,NA,8,Biography-Documentary-Drama-History,
Me  Myself & Irene,English,2000,Yes,700.94,6.30,NA,Comedy,
Mean Girls,English,2004,Yes,698.77,6.90,NA,Comedy-Drama,
Mee Sindhutai Sapkal,Marathi,2010,Yes,685.03,6.60,9,Biography,
Meet Dave,English,2008,Yes,699.68,4.80,NA,Adventure-Comedy-Family-Romance-Sci-Fi,
Meet the Robinsons,English,2007,Yes,699.66,6.80,NA,Animation-Adventure-Comedy-Family-Sci-Fi,
Meet the Spartans,English,2008,Yes,700.60,2.50,6,Comedy-War,
Megamind,English,2010,Yes,706.53,7.30,NA,Animation-Action-Comedy-Family-Sci-Fi,
Memento,English,2000,Yes,692.11,8.60,9,Crime-Drama-Mystery-Thriller,
Mere Baap Pehle Aap,Hindi,2008,Yes,698.32,5.00,NA,Comedy-Drama-Romance,
Mere Brother Ki Dulhan,Hindi,2011,Yes,700.38,6.30,NA,Comedy-Drama-Romance,
Metropolis,English,1927,Yes,702.16,8.40,9,Drama-Sci-Fi,
Mi Shivaji Raje Bhosale Boltoy,Marathi,NA,Yes,585.86,NA,9,Adventure-Drama-Family-History,
Midaq Alley (El callejón de los milagros),Foreign Language,1995,Yes,800.35,7.50,8,Drama,
Mighty Ducks Collection,English,NA,Yes,1398.78,NA,NA,Action-Comedy-Drama-Family-Sport,
Milk,English,2008,Yes,344.52,7.80,NA,Biography-Drama-History,
Million Dollar Baby,English,2004,Yes,700.12,8.20,NA,Drama-Sport,
Mini's First Time,Foreign Language,2006,Yes,700.42,5.90,6,Comedy-Crime-Drama,
Minority Report,English,2002,Yes,656.32,7.70,8,Action-Crime-Mystery-Sci-Fi-Thriller,
Miracle,English,2004,Yes,700.87,7.40,NA,Drama-Family-History-Sport,
Miss Congeniality,English,2000,Yes,701.08,6.00,7,Action-Comedy-Crime,
Miss Congeniality 2: Armed and Fabulous,English,2005,Yes,700.11,4.70,6,Action-Comedy-Crime,
Miss Congeniality Collection Pack,English,2000,Yes,1401.19,NA,6,Action-Comedy-Crime,
Miss March,English,2009,Yes,698.92,4.80,5,Comedy,
Mission: Impossible,English,1996,Yes,802.63,6.90,NA,Action-Adventure-Thriller,
Mission: Impossible III,English,2006,Yes,1400.15,6.80,NA,Action-Adventure-Thriller,
Mithya,Hindi,2008,Yes,361.43,7.20,7,Comedy-Crime-Drama,
Mohabbatein,Hindi,2000,Yes,1393.42,6.60,NA,Musical-Drama-Romance,
Monster House,English,2006,Yes,696.38,6.80,NA,Animation-Comedy-Family-Fantasy-Mystery,
Monsters vs Aliens,English,2009,Yes,699.94,6.70,NA,Animation-Action-Adventure-Comedy-Family-Sci-Fi,
Monsters  Inc.,English,2001,Yes,318.02,8.00,NA,Animation-Adventure-Comedy-Family-Fantasy,
Monty Python Movies Collection,English,NA,Yes,3919.40,NA,7,Comedy,
Monty Python: And Now for Something Completely Different,English,1971,Yes,699.81,7.50,NA,Comedy,
Monty Python: How to Irritate People,English,1969,Yes,699.71,6.70,NA,Comedy,
Monty Python: Jabberwocky,English,1977,Yes,699.76,6.10,NA,Adventure-Comedy-Fantasy-Horror,
Monty Python: Life of Brian,English,1979,Yes,705.04,8.20,NA,Comedy,
Monty Python: The Holy Grail,English,1975,Yes,705.21,8.40,NA,Adventure-Comedy,
Monty Python: The Meaning of Life,English,1983,Yes,1120.56,7.50,NA,Comedy-Musical,
Morya,Marathi,2011,Yes,696.44,NA,8,Drama-Short,
Mousehunt,English,1997,Yes,595.19,6.10,NA,Comedy-Family,
MP3: Mera Pehla Pehla Pyaar,Hindi,2007,Yes,406.54,7.10,NA,Drama-Romance,
Mr Nice Guy (Yat goh hiu yan),English,1997,Yes,700.31,5.90,NA,Action-Comedy-Crime,
Mr Perfect,Telugu,2011,Yes,996.20,7.40,8,Action,
Mr. Bean's Holiday,English,2007,Yes,699.88,6.00,NA,Comedy-Family,
Mr. Deeds,English,2002,Yes,700.52,5.60,6,Comedy-Romance,
Mr. Medhavi,Telugu,2008,Yes,1441.03,7.10,NA,Drama-Romance,
Mrs. Doubtfire,English,1993,No,700.39,6.60,NA,Comedy-Drama-Family,
Mujhse Fraaandship Karoge,Hindi,2011,Yes,701.47,7.20,8,Comedy-Drama-Romance,
Mukkam Post London,Marathi,NA,Yes,695.00,NA,6,Comedy-Drama-Family,
Mumbai Meri Jaan,Hindi,2008,Yes,704.67,7.60,7,Drama,
Mumbai Pune Mumbai,Marathi,2010,Yes,697.76,7.30,NA,Drama-Romance,
Mumbai Salsa,Hindi,2007,Yes,701.61,4.10,NA,Comedy-Drama,
Munich,English,2005,Yes,800.40,7.70,NA,Drama-History-Thriller,
Murder 2,Hindi,2011,Yes,701.86,5.70,7,Action-Crime-Drama-Thriller,
Murder at 1600,English,1997,Yes,799.37,5.90,NA,Action-Crime-Drama-Mystery-Thriller,
Musa,English,2001,No,701.02,7.40,NA,Action-Drama-History-War,
Musafir,Hindi,2004,Yes,698.87,5.30,6,Action-Crime-Drama-Thriller,
Music and Lyrics,English,2007,Yes,699.65,6.60,NA,Comedy-Music-Romance,
My Fair Lady,English,1964,Yes,540.49,7.90,NA,Drama-Family-Musical-Romance,
My Own Private Idaho,English,1991,Yes,691.14,7.00,5,Drama-Romance,
My Sister's Keeper,English,2009,Yes,700.33,7.30,NA,Drama,
Mystic River,English,2003,Yes,966.69,8.00,NA,Crime-Drama-Mystery-Thriller,
Naked Fear,English,2007,Yes,717.43,5.30,6,Horror-Thriller,
Naked Weapon (Chek law dak gung),English,2002,Yes,701.89,5.60,NA,Action-Drama-Romance-Thriller,
Namastey London,Hindi,2007,Yes,699.95,6.70,NA,Comedy-Drama-Romance,
Namdar Mukhyamantri Ganapya Gawade,Marathi,NA,Yes,1241.80,NA,NA,Comedy-Drama,
Nana Mama,Marathi,2006,Yes,876.43,NA,NA,Comedy,
Natarang,Marathi,2010,Yes,704.40,7.50,9,Drama,
National Treasure,English,2004,Yes,701.59,6.80,7,Action-Adventure-Mystery-Thriller,
National Treasure Collection,English,NA,Yes,1403.20,NA,8,Action-Adventure-Mystery-Thriller,
National Treasure: Book of Secrets,English,2007,Yes,701.61,6.50,7,Action-Adventure-Comedy-Mystery-Thriller,
Natural Born Killers,English,1994,Yes,700.30,7.10,7,Crime-Drama-Romance-Thriller,
Nayak: The Real Hero,Hindi,2001,Yes,784.49,7.40,8,Drama-Action,
Never Back Down,English,2008,Yes,701.08,6.20,NA,Action-Drama-Sport,
Never Been Kissed,English,1999,Yes,1118.09,5.70,NA,Comedy-Drama-Romance,
Never Surrender,English,2009,Yes,699.97,2.70,5,Action-Drama-Thriller,
New York  I Love You,English,2009,Yes,700.70,6.50,7,Drama-Romance,
Next,English,2007,Yes,700.41,6.10,NA,Action-Sci-Fi-Thriller,
Next Avengers: Heroes of Tomorrow,English,2008,Yes,698.22,6.40,NA,Animation-Action-Family-Sci-Fi,
Nick and Norah's Infinite Playlist,English,2008,Yes,729.01,6.80,7,Comedy-Drama-Music-Romance,
Nine,English,2009,No,1393.79,5.90,NA,Drama-Musical-Romance,
Ninja Assassin,English,2009,Yes,902.76,6.30,NA,Action-Crime-Thriller,
Nital,Marathi,2006,Yes,753.72,2.90,7,Drama,
No Country for Old Men,English,2007,Yes,1393.20,8.20,NA,Crime-Drama-Thriller,
No Escape,English,1994,Yes,705.45,5.80,6,Action-Drama-Sci-Fi-Thriller,
No Greater Love,English,2009,Yes,699.75,5.50,6,Drama-Romance,
No Man's Land,Foreign Language,2001,Yes,701.29,8.00,NA,Comedy-Drama-War,
No One Killed Jessica,Hindi,2011,Yes,697.31,7.10,8,Crime-Drama-Thriller,
No Strings Attached,English,2011,Yes,772.33,6.20,7,Comedy-Romance,
North by Northwest,English,1959,Yes,800.12,8.60,NA,Adventure-Mystery-Romance-Thriller,
Not Another Teen Movie,English,2001,Yes,697.28,5.60,NA,Comedy,
Notting Hill,English,1999,Yes,583.85,6.90,8,Comedy-Romance,
Nuvvostanante Nenoddantana,Telugu,2005,Yes,1511.67,7.40,NA,Romance,
Ocean's Collection,English,NA,Yes,2158.83,NA,8,Crime-Thriller,
Ocean's Eleven,English,2001,Yes,1130.06,7.60,NA,Crime-Thriller,
Ocean's Thirteen,English,2007,Yes,770.09,6.90,NA,Crime-Thriller,
Ocean's Twelve,English,2004,Yes,688.05,6.10,NA,Crime-Thriller,
October Sky,English,1999,Yes,679.62,7.70,NA,Biography-Drama-Family,
Om Shanti Om,Hindi,2007,Yes,748.55,6.30,NA,Action-Comedy-Drama-Musical-Romance-Thriller,
Omkara,Hindi,2006,Yes,350.05,7.90,NA,Action-Drama-Romance,
On the Waterfront,English,1954,Yes,351.82,8.40,NA,Crime-Drama,
Once Upon a Time in Mumbaai,Hindi,2010,Yes,697.46,6.80,NA,Crime-Drama-Romance,
One Flew Over the Cuckoo's Nest,English,1975,Yes,700.08,8.80,10,Drama,
Ong bak 2,English,2008,Yes,1401.14,6.20,NA,Action,
Ong Bak 3,English,2010,Yes,1491.49,4.60,NA,Action,
Open Season,English,2006,Yes,711.66,6.10,7,Adventure-Animation-Comedy-Family,
Open Season 2,English,2008,Yes,701.84,5.50,6,Adventure-Animation-Comedy-Family,
Open Season Collection,English,2006,Yes,1402.18,NA,7,Adventure-Animation-Comedy-Family,
Original Sin,English,2001,Yes,689.54,5.70,6,Drama-Mystery-Romance-Thriller,
Orphan,English,2009,Yes,696.41,7.10,NA,Mystery-Thriller,
Osmosis Jones,English,2001,Yes,691.90,6.10,NA,Animation-Action-Adventure-Comedy-Family-Fantasy,
Out of Sight,English,1998,No,699.82,7.10,NA,Action-Comedy-Crime-Romance-Thriller,
Outlander,English,2008,Yes,702.14,6.40,NA,Action-Adventure-Sci-Fi,
Over the Hedge,English,2006,Yes,699.30,7.00,NA,Animation-Adventure-Comedy-Family,
P.S. I Love You,English,2007,Yes,700.51,6.90,NA,Drama-Romance,
Pachhadalela,Marathi,NA,Yes,976.61,NA,8,Comedy-Family,
Page 3,Hindi,2005,Yes,468.70,7.50,8,Drama,
Panic Room,English,2002,Yes,681.06,6.90,NA,Thriller,
Partner,Hindi,2007,Yes,699.66,4.90,NA,Comedy-Romance,
Parugu,Telugu,2008,Yes,696.58,7.30,NA,Action-Romance,
Patch Adams,English,1998,Yes,707.86,6.30,NA,Biography-Comedy-Drama,
Pather Panchali,Indian Language,1955,Yes,1400.55,8.10,9,Drama,
Pathfinder,English,2007,Yes,700.60,5.20,NA,Action-Adventure-Drama-History-Thriller-War,
Paths of Glory,English,1957,Yes,1489.46,8.60,NA,Drama-War,
Pati Sagale Uchapati,Marathi,NA,Yes,1402.04,NA,6,Comedy-Drama-Family,
Pearl Harbor,English,2001,Yes,700.02,5.60,7,Action-Drama-Romance-War,
Peepli Live,Hindi,2010,Yes,895.71,7.50,8,Comedy-Drama,
Percy Jackson & the Olympians: The Lightning Thief,English,2010,Yes,1129.59,5.80,NA,Action-Adventure-Family-Fantasy,
Perfect Stranger,English,2007,Yes,701.76,5.50,NA,Crime-Drama-Mystery-Thriller,
Perfume: The Story of a Murderer,English,2006,Yes,800.34,7.50,NA,Drama-Fantasy,
Phas Gaye Re Obama,Hindi,2010,Yes,696.44,7.40,7,Comedy-Crime,
Phone Booth,English,2002,Yes,700.24,7.20,NA,Mystery-Thriller,
Pirates Of Silicon Valley,English,1999,Yes,700.05,7.00,7,Biography-Drama,
Pirates of the Caribbean Collection,English,2003,Yes,4604.49,NA,8,Action-Adventure-Fantasy,
Pirates of the Caribbean: At World's End,English,2007,Yes,1701.11,7.00,8,Action-Adventure-Fantasy,
Pirates of the Caribbean: Dead Man's Chest,English,2006,Yes,900.40,7.30,9,Action-Adventure-Fantasy,
Pirates of the Caribbean: On Stranger Tides,English,2011,Yes,1464.35,6.60,7,Action-Adventure-Fantasy,
Pirates of the Caribbean: The Curse of the Black Pearl,English,2003,Yes,1303.85,8.00,9,Action-Adventure-Fantasy,
Pitch Black,English,2000,Yes,992.64,7.00,7,Action-Sci-Fi-Thriller,
Planet 51,English,2009,Yes,713.80,6.10,NA,Animation-Adventure-Comedy-Family-Sci-Fi,
Planet of the Apes,English,2001,Yes,987.68,5.60,8,Action-Adventure-Sci-Fi-Thriller,
PLAYERS 2012 500MB MC Rip MKV AAC TeamTNT,Hindi,2012,No,505.02,NA,NA,,
Playing by Heart,English,1998,Yes,1493.30,7.10,8,Comedy-Drama-Romance,
Point Break,English,1991,Yes,699.51,6.90,NA,Action-Crime-Thriller,
Pokiri,Telugu,2006,Yes,1602.32,7.30,NA,Action,
Poseidon,English,2006,Yes,700.99,5.60,7,Action-Adventure-Drama-Thriller,
Predator,English,1987,Yes,882.15,7.80,9,Action-Adventure-Sci-Fi-Thriller,
Predator 2,English,1990,Yes,699.79,6.00,6,Action-Sci-Fi-Thriller,
Predator Collection,English,1987,Yes,1399.21,NA,8,Action-Adventure-Sci-Fi-Thriller,
Pretty Woman,English,1990,Yes,1176.94,6.70,7,Comedy-Romance,
Prey,English,2007,Yes,699.69,4.50,NA,Adventure-Thriller,
Priest,English,2011,Yes,1486.39,5.70,NA,Action-Horror-Sci-Fi-Thriller,
Prince of Persia: The Sands of Time,English,2010,Yes,2237.06,6.70,7,Action-Adventure-Fantasy-Romance,
Private School,English,1983,Yes,700.00,4.70,7,Comedy-Romance,
Project A ('A' gai wak),English,1983,Yes,691.31,7.20,NA,Action-Comedy,
Psycho,English,1960,Yes,700.87,8.70,10,Horror-Mystery-Thriller,
Public Enemies,English,2009,Yes,701.99,7.00,8,Biography-Crime-Drama-History,
Pulp Fiction,English,1994,Yes,659.46,9.00,10,Crime-Thriller,
Pyaar Ka Punchnama,Hindi,2011,Yes,657.48,7.90,NA,Comedy-Drama-Romance,
Queen of the Damned,English,2002,Yes,699.09,4.80,NA,Fantasy-Horror-Music,
Raat Gayi  Baat Gayi?,Hindi,2009,Yes,714.00,6.50,NA,Comedy-Drama,
Raavan P 1 DDR,Hindi,NA,No,696.28,NA,NA,,
Rab Ne Bana Di Jodi,Hindi,2008,Yes,694.43,6.70,NA,Comedy-Drama-Musical-Romance,
Race,Hindi,2008,Yes,700.46,NA,NA,Action-Crime-Drama-Thriller,
Race to Witch Mountain,English,2009,Yes,701.48,5.80,NA,Action-Adventure-Family-Fantasy-Sci-Fi-Thriller,
Raging Bull,English,1980,No,700.17,8.40,NA,Biography-Drama-Sport,
Rain Man,English,1988,Yes,712.06,8.00,8,Drama,
Rakhta Charitra,Hindi,2010,Yes,697.09,7.30,NA,Action-Biography-Crime-Drama-Thriller,
Ram Gopal Varma Ki Aag,Hindi,2007,Yes,422.28,1.60,2,Action-Adventure-Comedy-Crime-Musical,
Rambo,English,2008,Yes,700.91,7.20,7,Action-Thriller-War,
Rambo III,English,1988,Yes,701.62,5.20,6,Action-Adventure-Thriller,
Rambo The Complete Collection,English,1982,Yes,2804.72,NA,7,Action-Adventure-Thriller,
Rambo: First Blood,English,1982,Yes,701.05,7.50,8,Action-Adventure-Drama-Thriller,
Rambo: First Blood Part II,English,1985,Yes,701.14,6.00,6,Action-Adventure-Thriller,
Rang De Basanti,Hindi,2006,Yes,1616.24,8.30,9,Drama-History,
Rango,English,2011,Yes,1108.87,7.40,8,Animation-Adventure-Comedy-Family-Western,
Rat Race,English,2001,Yes,701.41,6.30,NA,Adventure-Comedy,
Ratatouille,English,2007,Yes,702.05,8.10,NA,Animation-Comedy-Family-Fantasy,
Raw Deal,English,1986,Yes,319.21,5.10,NA,Action-Crime-Thriller,
Ready,Hindi,2011,Yes,691.22,4.90,NA,Action-Comedy-Drama,
Rear Window,English,1954,Yes,698.54,8.70,9,Mystery-Romance-Thriller,
Recreation,English,NA,No,54.90,NA,NA,,
Red,English,2010,No,940.92,7.00,NA,Action-Comedy-Thriller,
Red Heat,English,1988,Yes,312.52,5.80,7,Action-Comedy-Crime-Thriller,
Redline,English,2007,Yes,699.43,3.70,NA,Action,
Rehnaa Hai Terre Dil Mein,Hindi,2001,Yes,1491.89,7.20,10,Musical,
Religulous,English,2008,Yes,700.09,7.70,8,Comedy-Documentary,
Remember the Titans,English,2000,Yes,682.34,7.50,NA,Biography-Drama-Sport,
Rescue Dawn,English,2006,Yes,1399.30,7.50,NA,Action-Adventure-Biography-Drama-War,
Reservoir Dogs,English,1992,Yes,693.37,8.40,NA,Crime-Mystery-Thriller,
Resident Evil: Degeneration,English,2008,Yes,701.50,6.60,7,Action-Animation-Horror-Sci-Fi-Thriller,
Revolution OS,English,2001,Yes,701.37,7.30,NA,Documentary-Comedy,
Revolver,English,2005,Yes,699.93,6.30,NA,Crime-Drama-Mystery-Thriller,
Riddick Collection,English,2000,Yes,1239.64,NA,7,Action-Adventure-Sci-Fi-Thriller,
Righteous Kill,English,2008,No,702.45,6.00,NA,Crime-Drama-Mystery-Thriller,
Rio,English,2011,Yes,1392.36,7.00,8,Adventure-Animation-Comedy-Family-Musical,
Road Trip,English,2000,Yes,694.01,6.40,NA,Adventure-Comedy,
Road Trip: Beer Pong,English,2009,Yes,700.41,4.60,6,Comedy,
Robin Hood,English,2010,Yes,1463.30,6.80,NA,Action-Adventure-Drama,
Robot (Endhiran),Hindi,2010,Yes,700.66,6.60,NA,Action-Adventure-Comedy-Fantasy-Sci-Fi,
Robots,English,2005,Yes,764.77,6.30,NA,Animation-Adventure-Comedy-Family-Romance-Sci-Fi,
Rock On!!,Hindi,2008,Yes,698.28,7.70,8,Drama-Music,
Rockford,Hindi,1999,Yes,333.93,7.30,7,Family-Comedy,
Rocky Collection,English,NA,Yes,707.17,NA,NA,Action-Drama-Sport,
Rocky IV,English,1985,Yes,707.17,6.10,NA,Action-Drama-Sport,
Role Models,English,2008,Yes,701.46,7.00,NA,Comedy-Romance,
Romeo Must Die,English,2000,Yes,684.82,5.90,NA,Action-Crime-Thriller,
Romper Stomper,English,1992,Yes,701.17,6.90,5,Action-Drama,
Rumor Has It...,English,2005,Yes,859.08,5.50,NA,Comedy-Drama-Romance,
Runaway Jury,English,2003,Yes,575.90,7.10,NA,Drama-Thriller,
Rush Hour,English,1998,Yes,700.09,6.80,NA,Action-Comedy-Thriller-Crime,
Rush Hour 2,English,2001,Yes,699.92,6.40,NA,Action-Comedy-Crime-Thriller,
Rushmore,English,1998,Yes,690.02,7.80,NA,Comedy-Drama,
Russell Peters: Outsourced,English,2006,Yes,778.93,8.00,NA,Comedy,
Russell Peters: Red  White and Brown,English,2008,Yes,700.42,8.00,NA,Comedy,
S.W.A.T.,English,2003,Yes,628.96,5.90,NA,Action-Crime-Thriller,
Saade Maade Teen,Marathi,2007,Yes,1236.08,5.20,NA,Comedy,
Saathiya,Hindi,2002,Yes,1335.65,7.00,8,Drama-Romance,
Sachein,Tamil,2005,Yes,2146.03,6.00,NA,Action-Comedy-Drama-Romance,
Saheb Biwi Aur Gangster,Hindi,2011,Yes,695.88,7.20,7,Action-Crime-Drama-Thriller,
Salaam Bombay!,Hindi,1988,Yes,1300.12,7.90,9,Crime-Drama,
Salt,English,2010,Yes,1376.52,6.50,NA,Action-Crime-Mystery-Thriller,
Sanctum,English,2011,Yes,1410.80,5.70,NA,Action-Adventure-Drama-Thriller,
Sarkar,Hindi,2005,Yes,1348.87,7.50,8,Action-Crime-Drama,
Satya,Hindi,1998,Yes,1391.59,8.00,9,Action-Crime,
Savarkhed: Ek Gaav,Marathi,2004,Yes,1141.06,5.70,NA,Crime-Drama-Thriller,
Saved!,English,2004,Yes,662.54,6.90,NA,Comedy-Drama,
Saving Private Ryan,English,1998,Yes,679.99,8.50,10,Action-Drama-History-War,
Saw,English,2004,Yes,700.28,7.70,NA,Crime-Horror-Mystery-Thriller,
Saw Collection,English,2009,Yes,4205.23,NA,7,Crime-Horror-Mystery-Thriller,
Saw II,English,2005,Yes,701.09,6.70,NA,Horror-Thriller,
Saw III,English,2006,Yes,702.11,6.20,NA,Crime-Horror-Thriller,
Saw IV,English,2007,Yes,701.21,5.90,NA,Crime-Horror-Thriller,
Saw V,English,2008,Yes,712.84,5.70,NA,Crime-Horror-Thriller,
Saw VI,English,2009,Yes,699.31,6.10,NA,Horror-Mystery-Thriller,
Scary Movie,English,2000,Yes,0.00,6.00,6,Comedy,
Scary Movie 2,English,2001,Yes,0.00,4.80,NA,Comedy,
Scary Movie 3,English,2003,Yes,0.00,5.30,NA,Comedy,
Scary Movie 4,English,2006,Yes,0.00,5.00,NA,Comedy,
Scary Movie Collection,English,2000,Yes,4379.40,NA,NA,Comedy,
Scent of a Woman,English,1992,Yes,604.62,7.80,NA,Drama,
Schindler's List,English,1993,Yes,1051.67,8.90,10,Biography-Drama-History-War,
School for Scoundrels,English,2006,Yes,701.74,5.90,NA,Comedy-Romance,
Se7en,English,1995,Yes,699.30,8.70,9,Crime-Drama-Mystery-Thriller,
Seabiscuit,English,2003,Yes,900.46,7.40,7,Drama-History-Sport,
Secret Things (Choses secrètes),Foreign Language,2002,No,700.18,6.10,NA,Comedy-Drama-Fantasy-Romance,
Senna,English,2010,Yes,1533.87,8.70,NA,Documentary-Biography-Sport,
Senseless,English,1998,Yes,701.37,5.50,NA,Comedy-Romance,
Seven Pounds,English,2008,Yes,701.51,7.60,NA,Drama,
Seven Samurai (Shichinin no samurai),English,1954,No,786.19,8.80,NA,Adventure-Drama,
Seven Swords (Qi jian),Foreign Language,2005,Yes,1300.91,6.20,NA,Action-Fantasy,
Sex and Lucia (Lucía y el sexo),Foreign Language,2001,Yes,698.53,7.30,6,Drama-Romance,
Sex and the City,English,2008,Yes,901.59,5.30,6,Comedy-Drama-Romance,
Sex and the City 2,English,2010,Yes,1410.63,3.90,6,Comedy-Drama-Romance,
